PremiseID,PremisesName,AltPremisesName,Customer,TenancyUnitShopOrLevel,BuildingType,StreetNumber,StreetName,Suburb,State,Postcode,Latitude,Longitude,RatingReferenceNumber,RatingType,RatingScope,CertificateValidTo,EnergyStarRatingValue,EnergyGPStarRatingValueNoGP,SectorComparisonDial,RatingProgressMetricForEnergyWithoutGreenPower,EnergyGreenPowerPercent,EnergyGreenPower,WasteStarRatingValue,IEQStarRatingValue,GHGEmissionsScope123WithRenewableElectricity,GHGEmissionsScope123WithoutRenewableElectricity,GHGEmissionsScope123PerM2WithRenewableElectricity,GHGEmissionsScope123PerM2WithoutRenewableElectricity,EnergyIntensity,GHGEmissionsScope123PerRoom,GHGEmissionsScope123PerRoomNoGP,TotalEnergyUse,CarbonNeutral,CarbonNeutralExpiryDate,WaterStarRatingValue,WaterStarRatingValueNoRW,RatingProgressMetricForWaterWithoutRecycledWater,RatingProgressMetricForWaterWithRecycledWater,WaterRecycledPercent,WaterRecycled,WaterConsumption,WaterConsumptionWoRW,WaterIntensity,WaterIntensityNoRW,ThermalComfortScore,AirQualityScore,AcousticComfortScore,LightingScore,OfficeLayoutScore,RecycleRate,WasteIntensity,MainRatingAttribute,AAAStarRatingValue,DataCentre_PUE,HospitalPeerGroup,RetailStoreCategory,School_SubSector,School_Remoteness,RatedElectricity,RatedGas,SchoolRatedLPG,GasAndLPG_REI%,RatedDiesel,Diesel_REI%,REIResult_%,REIResult1dp_%,TotalRenewableElectricity_kWh,NonRenewableElectricity_kWh,NonRenewableElectricity_REI%,OnsitePVCapacity_kW,OnsiteRenewableElectricity_kWh,OnsiteRenewableElectricity_REI%,RETandStateTerritoryTargets_kWh,RETandStateTerritorytargets_REI%,GreenPower_kWh,GreenPower_REI%,OtherVoluntaryPurchases_kWh,OtherVoluntaryPurchases_REI%,EmbodiedCarbonStarRating,RatingProgressMetricForEmbodiedCarbon,CarbonIntensityPerM2,TotalEmissionsA1-A5,TotalStoredEmissions_KGCO2e,TotalStoredEmissions_%,TotalOffsetEmissions_KGCO2e,TotalOffsetEmissions_%
P0614,SX1 East Tower,SX1 East Tower,"Dept of Treasury and Finance - The State of Victoria, Office",L2-L7,Office,="121",Exhibition Street,MELBOURNE,VIC,3000,-37.81273921,144.97056110,OF41181,Energy,Tenancy,10/06/2026,6.00,5.50,,5.6,31.62,YES,,,1638446.19,3110571.84,21.29,40.41,169.00,,,13020998.40,NO,,,,,,,,,,,,,,,,,,,76959.60,,,,,,,3616944.00,0.00,,0.00,0.00,0.00,50.00,50.10,1811996.25,1804947.75,49.90,0.00,0.00,0.00,668411.25,18.50,1143585.00,31.60,0.00,0.00,,,,,,,,,
P0616,130 Pitt Street,130 Pitt Street,MEC Global Partners Asia (Australia) Pty Ltd,,Office,="130",Pitt Street,SYDNEY,NSW,2000,-33.86854117,151.20860191,OF41105,Energy,Base Building,25/06/2026,5.50,5.00,,5.0,25.00,YES,,,274353.33,389951.26,42.34,60.17,297.00,,,1929301.32,NO,,,,,,,,,,,,,,,,,,,6480.01,,,,,,,532861.20,0.00,,0.00,285.00,0.60,43.00,43.20,231688.05,301173.15,56.20,,0.00,0.00,98472.75,18.40,133215.30,24.90,0.00,0.00,,,,,,,,,
P0616,130 Pitt Street,130 Pitt Street,MEC Global Partners Asia (Australia) Pty Ltd,,Office,="130",Pitt Street,SYDNEY,NSW,2000,-33.86854117,151.20860191,OF41105,Water,Base Building,25/06/2026,,,,,25.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,4.50,4.50,4.5,4.5,0.00,NO,3130.570,3130.570,0.480,0.480,,,,,,,,6480.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0617,600 St Kilda Road Melbourne,600 St Kilda Road Melbourne,Wharf Street Nominees Pty Ltd,,Office,="600",St Kilda Road,MELBOURNE,VIC,3004,-37.85060500,144.98030400,OF33704,Energy,Base Building,31/10/2025,4.50,4.50,,4.9,0.00,NO,,,534182.62,594807.79,43.38,48.30,382.00,,,4703976.48,NO,,,,,,,,,,,,,,,,,,,12313.63,,,,,,,505209.75,2881747.38,,61.30,90.00,0.10,7.00,7.20,94171.10,411038.65,31.50,,0.00,0.00,94171.10,7.20,0.00,0.00,0.00,0.00,,,,,,,,,
P0619,St Martins Tower,St Martins Tower,LEADER AUTAINVEST II PTY LIMITED,,Office,="31",Market Street,SYDNEY,NSW,2000,-33.87154945,151.20593899,OF32235,Energy,Base Building,24/08/2025,5.50,5.00,,5.0,37.65,YES,,,694676.75,1244975.57,36.59,65.57,351.00,,,6669427.39,NO,,,,,,,,,,,,,,,,,,,18984.56,,,,,,,1460143.72,1406541.00,,21.10,165.00,0.10,44.00,44.50,823718.16,636425.56,34.40,,0.00,0.00,273932.54,14.80,549785.62,29.70,0.00,0.00,,,,,,,,,
P0619,St Martins Tower,St Martins Tower,LEADER AUTAINVEST II PTY LIMITED,,Office,="31",Market Street,SYDNEY,NSW,2000,-33.87154945,151.20593899,OF32235,Water,Base Building,24/08/2025,,,,,37.65,,,,0.00,0.00,0.00,0.00,,,,,NO,,4.00,4.00,4.1,4.1,0.00,NO,11661.850,11661.850,0.610,0.610,,,,,,,,18984.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0620,BT Tower,BT Tower,Banpu Energy Australia Pty Ltd,L8.02,Office,="1",Market Street,SYDNEY,NSW,2000,-33.87145906,151.20443551,OF41733,Energy,Tenancy,30/07/2026,,5.50,,5.8,0.00,NO,,,0.00,8996.84,0.00,33.19,163.00,,,44367.98,NO,,,,,,,,,,,,,,,,,,,271.00,,,,,,,12324.44,0.00,,0.00,0.00,0.00,100.00,100.00,12324.44,0.00,0.00,,0.00,0.00,1324.44,10.70,0.00,0.00,11000.00,89.30,,,,,,,,,
P0620,BT Tower,BT Tower,INVESTA ASSET MANAGEMENT PTY LIMITED,,Office,="1",Market Street,SYDNEY,NSW,2000,-33.87145906,151.20443551,OF32973,Energy,Base Building,16/06/2026,5.50,4.50,,4.6,57.54,YES,,,95784.15,1477089.68,4.50,69.44,388.00,,,8271760.31,NO,,,,,,,,,,,,,,,,,,,21268.83,,,,,,,1892199.36,1397117.62,,16.90,1625.00,0.80,82.00,82.40,1892199.36,0.00,0.00,,0.00,0.00,346464.45,15.10,1088734.91,47.40,457000.00,19.90,,,,,,,,,
P0620,BT Tower,BT Tower,INVESTA ASSET MANAGEMENT PTY LIMITED,,Office,="1",Market Street,SYDNEY,NSW,2000,-33.87145906,151.20443551,OF32973,Water,Base Building,16/06/2026,,,,,57.54,,,,0.00,0.00,0.00,0.00,,,,,NO,,4.50,4.50,4.5,4.5,0.00,NO,10510.260,10510.260,0.490,0.490,,,,,,,,21268.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0623,Queanbeyan Government Services Centre,Queanbeyan Government Services Centre,Cromwell Queanbeyan Trust (CQT),,Office,="11",Farrer Place,QUEANBEYAN,NSW,2620,-35.35535260,149.23101199,OF38172,Energy,Whole Building,29/04/2026,5.50,5.50,,5.8,6.00,YES,,,282686.61,297287.02,50.16,52.75,367.00,,,2072889.52,NO,,,,,,,,,,,,,,,,,,,5635.46,,,,,,,328356.20,890189.61,,35.50,16.00,0.00,29.00,28.90,201252.40,247974.60,35.60,99.99,120870.80,17.30,60680.23,8.70,19701.37,2.80,0.00,0.00,,,,,,,,,
P0623,Queanbeyan Government Services Centre,Queanbeyan Government Services Centre,Cromwell Queanbeyan Trust (CQT),,Office,="11",Farrer Place,QUEANBEYAN,NSW,2620,-35.35535260,149.23101199,OF38172,Water,Whole Building,29/04/2026,,,,,6.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,5.50,5.50,5.6,5.6,0.00,NO,1365.000,1365.000,0.240,0.240,,,,,,,,5635.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0624,64 Northbourne Avenue,64 Northbourne Avenue,The Trustee for 64 NB Ave Trust,,Office,="64",Northbourne Avenue,CANBERRA,ACT,2601,-35.27750676,149.12978099,OF41363,Energy,Base Building,29/06/2026,4.00,4.00,,4.2,0.00,NO,,,39110.77,266753.46,8.46,57.72,373.00,,,1727770.36,NO,,,,,,,,,,,,,,,,,,,4620.92,,,,,,,311839.31,605148.85,,35.00,0.00,0.00,65.00,65.00,311839.31,0.00,0.00,,0.00,0.00,311839.31,65.00,0.00,0.00,0.00,0.00,,,,,,,,,
P0624,64 Northbourne Avenue,64 Northbourne Avenue,The Trustee for 64 NB Ave Trust,,Office,="64",Northbourne Avenue,CANBERRA,ACT,2601,-35.27750676,149.12978099,OF41363,Water,Base Building,29/06/2026,,,,,0.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,5.50,5.50,5.5,5.5,0.00,NO,1160.270,1160.270,0.250,0.250,,,,,,,,4620.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0625,Penrhyn House,Penrhyn House,Growthpoint Properties Australia Limited,,Office,="2-6",Bowes Street,PHILLIP,ACT,2606,-35.34203955,149.08562112,N69483,Indoor environment,Base Building,15/12/2025,,,,,0.00,,,4.50,0.00,0.00,0.00,0.00,,,,,NO,,,,,,,,,,,,53.70,90.70,90.60,0.00,0.00,,,11895.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0625,Penrhyn House,Penrhyn House,GROWTHPOINT PROPERTIES AUSTRALIA LIMITED,,Office,="2-6",Bowes Street,PHILLIP,ACT,2606,-35.34203955,149.08562112,OF38125,Energy,Base Building,11/05/2026,5.00,5.00,,5.3,0.00,NO,,,158794.10,378773.47,13.87,33.09,309.00,,,3541801.79,NO,,,,,,,,,,,,,,,,,,,11445.47,,,,,,,301341.61,2456972.00,,61.80,0.00,0.00,38.00,38.20,422273.61,0.00,0.00,99.90,120932.00,10.90,301341.61,27.30,0.00,0.00,0.00,0.00,,,,,,,,,
P0625,Penrhyn House,Penrhyn House,GROWTHPOINT PROPERTIES AUSTRALIA LIMITED,,Office,="2-6",Bowes Street,PHILLIP,ACT,2606,-35.34203955,149.08562112,OF38125,Water,Base Building,11/05/2026,,,,,0.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,5.50,5.50,5.5,5.5,0.00,NO,2804.690,2804.690,0.240,0.240,,,,,,,,11445.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0627,Education House,54 Mary Street (Education House),QIC Private Capital Pty Ltd & QIC Infrastructure Management No.2 Pty Ltd,,Office,="30",Mary Street,BRISBANE CITY,QLD,4000,-27.47269522,153.02607942,N69091,Waste,Base Building,16/09/2025,,,,,0.00,,2.50,,0.00,,0.00,,,,,,NO,,,,,,,,,,,,,,,,,24.00,2.37,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0627,Education House,Education House,QIC Private Capital Pty Ltd & QIC Infrastructure Management No.2 Pty Ltd,,Office,="30",Mary Street,BRISBANE CITY,QLD,4000,-27.47269522,153.02607942,OF33721,Energy,Base Building,28/10/2025,5.50,5.50,,5.7,0.00,NO,,,1017141.17,1208902.35,45.53,54.11,222.00,,,4971531.72,NO,,,,,,,,,,,,,,,,,,,22340.84,,,,,,,1369722.70,0.00,,0.00,1050.00,0.80,19.00,18.60,256430.05,1113292.65,80.60,,0.00,0.00,256430.05,18.60,0.00,0.00,0.00,0.00,,,,,,,,,
P0627,Education House,Education House,QIC Private Capital Pty Ltd & QIC Infrastructure Management No.2 Pty Ltd,,Office,="30",Mary Street,BRISBANE CITY,QLD,4000,-27.47269522,153.02607942,OF33721,Water,Base Building,28/10/2025,,,,,0.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,4.50,4.50,4.7,4.7,0.00,NO,10171.440,10171.440,0.450,0.450,,,,,,,,22340.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0629,NSW Crime Commission,453-463 Kent Street,Property and Development NSW,,Office,="453-463",Kent Street,SYDNEY,NSW,2000,-33.87261289,151.20481350,N68919,Waste,Base Building,11/10/2025,,,,,0.00,,3.50,,0.00,,0.00,,,,,,NO,,,,,,,,,,,,,,,,,39.00,1.84,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0629,NSW Crime Commission,453-463 Kent Street,Property and Development NSW,,Office,="453-463",Kent Street,SYDNEY,NSW,2000,-33.87261289,151.20481350,N69951,Indoor environment,Base Building,28/05/2026,,,,,0.00,,,2.00,0.00,0.00,0.00,0.00,,,,,NO,,,,,,,,,,,,19.90,89.00,33.50,0.00,0.00,,,3931.30,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0629,NSW Crime Commission,NSW Crime Commission,Property and Development NSW,,Office,="453-463",Kent Street,SYDNEY,NSW,2000,-33.87261289,151.20481350,OF34171,Energy,Whole Building,13/11/2025,5.00,5.00,,5.0,6.00,YES,,,447251.91,475922.56,113.77,121.05,607.00,,,2386514.30,NO,,,,,,,,,,,,,,,,,,,3931.30,,,,,,,643620.64,0.00,,0.00,1800.00,2.90,24.00,23.90,158334.90,485285.74,73.20,,0.00,0.00,119717.66,18.10,38617.24,5.80,0.00,0.00,,,,,,,,,
P0629,NSW Crime Commission,NSW Crime Commission,Property and Development NSW,,Office,="453-463",Kent Street,SYDNEY,NSW,2000,-33.87261289,151.20481350,OF34171,Water,Whole Building,13/11/2025,,,,,6.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,4.50,4.50,4.5,4.5,0.00,NO,1913.920,1913.920,0.480,0.480,,,,,,,,3931.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0630,99 Gawler Place,,The Trustee for Gawler Place Trust,,Office,="99",Gawler Place,ADELAIDE,SA,5000,-34.92496020,138.60174213,N69297,Waste,Base Building,27/11/2025,,,,,0.00,,4.00,,0.00,,0.00,,,,,,NO,,,,,,,,,,,,,,,,,75.00,8.14,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0630,99 Gawler Place,99 Gawler Place,The Trustee for 99 Gawler Place Unit Trust,,Office,="99",Gawler Place,ADELAIDE,SA,5000,-34.92496020,138.60174213,OF41053,Energy,Base Building,30/05/2026,6.00,4.50,,4.5,100.00,YES,,,71294.00,247593.45,8.36,29.03,359.00,,,3063747.39,NO,,,,,,,,,,,,,,,,,,,8527.33,,,,,,,534240.78,1127742.59,,36.80,330.00,0.40,63.00,62.80,534240.78,0.00,0.00,,0.00,0.00,0.00,0.00,534240.78,62.80,0.00,0.00,,,,,,,,,
P0630,99 Gawler Place,99 Gawler Place,The Trustee for 99 Gawler Place Unit Trust,,Office,="99",Gawler Place,ADELAIDE,SA,5000,-34.92496020,138.60174213,OF41053,Water,Base Building,30/05/2026,,,,,100.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,4.00,4.00,4.1,4.1,0.00,NO,4341.360,4341.360,0.500,0.500,,,,,,,,8527.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0631,Aurora Place,Aurora Place,Aurora Place Investments Pty Ltd,,Office,="88",Phillip Street,SYDNEY,NSW,2000,-33.86483678,151.21193167,OF32754,Energy,Base Building,03/09/2025,5.00,5.00,,5.1,20.00,YES,,,2041156.21,2589618.11,46.66,59.19,342.00,,,14988303.60,NO,,,,,,,,,,,,,,,,,,,43747.86,,,,,,,3187072.68,1945501.06,,13.00,40656.50,10.50,30.00,29.60,1234076.34,1952996.34,46.90,,0.00,0.00,596661.80,14.30,637414.54,15.30,0.00,0.00,,,,,,,,,
P0631,Aurora Place,Aurora Place,Aurora Place Investments Pty Ltd,,Office,="88",Phillip Street,SYDNEY,NSW,2000,-33.86483678,151.21193167,OF32754,Water,Base Building,03/09/2025,,,,,20.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,4.00,4.00,4.4,4.4,0.00,NO,22881.000,22881.000,0.520,0.520,,,,,,,,43747.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0632,169 Pirie Street,169 Pirie Street,169 PIRIE STREET (ADELAIDE) PTY LTD,,Office,="169",Pirie Street,ADELAIDE,SA,5000,-34.92572781,138.60648157,OF33412,Energy,Base Building,21/12/2025,4.50,4.50,,4.6,0.00,NO,,,416093.55,187239.41,60.75,27.33,298.00,,,2044190.91,NO,,,,,,,,,,,,,,,,,,,6848.93,,,,,,,558180.81,0.00,,0.00,900.00,1.50,29.00,29.20,191270.36,454582.45,69.30,64.31,87672.00,13.40,103598.36,15.80,0.00,0.00,0.00,0.00,,,,,,,,,
P0633,120 Collins st,,INVESTA PROPERTY GROUP,,Office,="120",Collins Street,MELBOURNE,VIC,3000,-37.81410744,144.96897225,N69811,Indoor environment,Base Building,28/06/2026,,,,,0.00,,,6.00,0.00,0.00,0.00,0.00,,,,,NO,,,,,,,,,,,,88.80,89.20,94.40,0.00,0.00,,,42721.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0633,120 Collins st,,Ventia Pty Ltd,"Part 6, L7-9",Office,="120",Collins Street,MELBOURNE,VIC,3000,-37.81410744,144.96897225,OF41059,Energy,Tenancy,27/05/2026,5.50,5.50,,5.5,0.00,NO,,,266747.53,310003.88,36.94,42.93,179.00,,,1297690.66,NO,,,,,,,,,,,,,,,,,,,7221.00,,,,,,,360469.63,0.00,,0.00,0.00,0.00,18.00,18.50,66614.79,293854.84,81.50,,0.00,0.00,66614.79,18.50,0.00,0.00,0.00,0.00,,,,,,,,,
P0633,120 Collins st,120 Collins st,INVESTA PROPERTY GROUP,,Office,="120",Collins Street,MELBOURNE,VIC,3000,-37.81410744,144.96897225,OF40845,Energy,Base Building,22/05/2026,3.50,3.50,,3.6,0.00,NO,,,433837.34,3585592.07,10.74,88.75,513.00,,,20735395.73,NO,,,,,,,,,,,,,,,,,,,40398.32,,,,,,,3676028.92,7262771.90,,35.00,6189.63,1.20,64.00,63.60,3665420.14,10608.77,0.20,,0.00,0.00,679330.14,11.80,0.00,0.00,2986090.00,51.80,,,,,,,,,
P0633,120 Collins st,120 Collins st,INVESTA PROPERTY GROUP,,Office,="120",Collins Street,MELBOURNE,VIC,3000,-37.81410744,144.96897225,OF40845,Water,Base Building,22/05/2026,,,,,0.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,2.50,2.50,2.9,2.9,0.00,NO,28029.450,28029.450,0.690,0.690,,,,,,,,40398.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0633,120 Collins st,120 COLLINS ST MELBOURNE,INVESTA ASSET MANAGEMENT PTY LIMITED,L3 part,Office,="120",Collins Street,MELBOURNE,VIC,3000,-37.81410744,144.96897225,OF41173,Energy,Tenancy,24/07/2026,,5.50,,5.7,0.00,NO,,,11350.28,13190.86,31.18,36.23,151.00,,,55217.59,NO,,,,,,,,,,,,,,,,,,,364.00,,,,,,,15338.22,0.00,,0.00,0.00,0.00,18.00,18.50,2834.50,12503.72,81.50,,0.00,0.00,2834.50,18.50,0.00,0.00,0.00,0.00,,,,,,,,,
P0634,231 Elizabeth Street,231 Elizabeth St,Charter Hall Limited,,Office,="231",Elizabeth Street,SYDNEY,NSW,2000,-33.87500973,151.20931759,N69271,Waste,Base Building,18/10/2025,,,,,0.00,,5.00,,0.00,,0.00,,,,,,NO,,,,,,,,,,,,,,,,,63.00,2.54,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0634,231 Elizabeth Street,231 Elizabeth St,Charter Hall Limited,,Office,="231",Elizabeth Street,SYDNEY,NSW,2000,-33.87500973,151.20931759,N69969,Indoor environment,Base Building,28/06/2026,,,,,0.00,,,5.50,0.00,0.00,0.00,0.00,,,,,NO,,,,,,,,,,,,84.70,95.60,69.50,0.00,0.00,,,22948.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0634,231 Elizabeth Street,231 Elizabeth Street,Charter Hall,,Office,="231",Elizabeth Street,SYDNEY,NSW,2000,-33.87500973,151.20931759,OF41306,Energy,Base Building,30/06/2026,5.50,5.50,,5.5,0.00,NO,,,121693.79,1068206.65,5.30,46.54,284.00,,,6534291.85,NO,,,,,,,,,,,,,,,,,,,22947.60,,,,,,,1298174.00,1848976.65,,28.30,308.00,0.20,71.00,71.50,1296902.56,1271.44,0.10,,0.00,0.00,239902.56,13.20,0.00,0.00,1057000.00,58.20,,,,,,,,,
P0634,231 Elizabeth Street,231 Elizabeth Street,Charter Hall,,Office,="231",Elizabeth Street,SYDNEY,NSW,2000,-33.87500973,151.20931759,OF41306,Water,Base Building,30/06/2026,,,,,0.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,4.50,4.50,4.8,4.8,0.00,NO,9077.470,9077.470,0.390,0.390,,,,,,,,22947.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0634,231 Elizabeth Street,231 Elizabeth Street,TRANSPORT FOR NSW,L5-L12,Office,="231",Elizabeth Street,SYDNEY,NSW,2000,-33.87500973,151.20931759,OF41560,Energy,Tenancy,27/06/2026,6.00,6.00,,6.2,5.71,YES,,,352697.78,374156.94,25.61,27.16,133.00,,,1845157.53,NO,,,,,,,,,,,,,,,,,,,13771.00,,,,,,,512543.76,0.00,,0.00,0.00,0.00,24.00,24.20,124004.26,388539.50,75.80,,0.00,0.00,94718.09,18.50,29286.17,5.70,0.00,0.00,,,,,,,,,
P0636,459 Collins Street,459 Collins Street,Juilliard Corporation Pty Ltd,,Office,="459",Collins Street,MELBOURNE,VIC,3000,-37.81837271,144.95901701,OF41146,Energy,Base Building,09/07/2026,,3.00,,3.1,0.00,NO,,,2105853.55,2396618.43,88.90,101.17,605.00,,,14341554.52,NO,,,,,,,,,,,,,,,,,,,23688.21,,,,,,,2423040.70,5593518.00,,39.00,650.00,0.20,11.00,11.20,447777.92,1975262.78,49.60,,0.00,0.00,447777.92,11.20,0.00,0.00,0.00,0.00,,,,,,,,,
P0636,459 Collins Street,459 Collins Street,Juilliard Corporation Pty Ltd,,Office,="459",Collins Street,MELBOURNE,VIC,3000,-37.81837271,144.95901701,OF41146,Water,Base Building,09/07/2026,,,,,0.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,3.50,3.50,3.8,3.8,0.00,NO,12589.000,12589.000,0.530,0.530,,,,,,,,23688.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0638,441 St Kilda Road,441 St Kilda Road, Dymocks Properties Pty Ltd,,Office,="441",St Kilda Road,MELBOURNE,VIC,3004,-37.83962103,144.97720675,OF37909,Energy,Base Building,29/03/2026,4.00,4.00,,4.0,0.00,NO,,,647654.36,725431.40,68.94,77.22,570.00,,,5359229.94,NO,,,,,,,,,,,,,,,,,,,9393.90,,,,,,,648142.02,3025918.67,,56.50,0.00,0.00,8.00,8.10,120040.15,528101.87,35.50,,0.00,0.00,120040.15,8.10,0.00,0.00,0.00,0.00,,,,,,,,,
P0638,441 St Kilda Road,441 St Kilda Road, Dymocks Properties Pty Ltd,,Office,="441",St Kilda Road,MELBOURNE,VIC,3004,-37.83962103,144.97720675,OF37909,Water,Base Building,29/03/2026,,,,,0.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,4.50,4.50,4.9,4.9,0.00,NO,3317.750,3317.750,0.350,0.350,,,,,,,,9393.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0639,5 Queens Road,5 Queens Road,FEATURE QUEENS PTY LTD,,Office,="5",Queens Road,MELBOURNE,VIC,3004,-37.83714900,144.97445600,OF37712,Energy,Base Building,12/04/2026,4.50,4.50,,4.7,0.00,NO,,,464433.94,525746.17,44.88,50.80,328.00,,,3394235.39,NO,,,,,,,,,,,,,,,,,,,10348.25,,,,,,,510935.27,1554868.42,,45.80,0.00,0.00,10.00,10.00,94420.84,416514.43,44.20,,0.00,0.00,94420.84,10.00,0.00,0.00,0.00,0.00,,,,,,,,,
P0639,5 Queens Road,5 Queens Road,FEATURE QUEENS PTY LTD,,Office,="5",Queens Road,MELBOURNE,VIC,3004,-37.83714900,144.97445600,OF37712,Water,Base Building,12/04/2026,,,,,0.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,4.50,4.50,4.6,4.6,0.00,NO,4202.000,4202.000,0.400,0.400,,,,,,,,10348.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0640,321 Exhibition Street,321 Exhibition Street,Invesco Australia Limited,,Office,="321",Exhibition Street,MELBOURNE,VIC,3000,-37.80848634,144.96837202,N69094,Indoor environment,Base Building,27/08/2025,,,,,0.00,,,5.00,0.00,0.00,0.00,0.00,,,,,NO,,,,,,,,,,,,72.50,88.20,94.40,0.00,0.00,,,17041.60,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0640,321 Exhibition Street,321 Exhibition Street,Invesco Australia Limited,,Office,="321",Exhibition Street,MELBOURNE,VIC,3000,-37.80848634,144.96837202,OF33998,Energy,Base Building,03/12/2025,6.00,5.00,,5.2,55.86,YES,,,331168.91,856245.08,16.32,42.20,270.00,,,5481671.55,YES,03/12/2025,,,,,,,,,,,,,,,,,,20288.20,,,,,,,836016.59,2472011.83,,45.10,0.00,0.00,41.00,40.90,622833.49,213183.10,14.00,,0.00,0.00,155833.49,10.20,467000.00,30.70,0.00,0.00,,,,,,,,,
P0640,321 Exhibition Street,321X,Invesco Australia Limited,,Office,="321",Exhibition Street,MELBOURNE,VIC,3000,-37.80848634,144.96837202,OF38389,Water,Base Building,02/05/2026,,,,,0.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,5.00,5.00,5.1,5.1,0.00,NO,6554.420,6554.420,0.320,0.320,,,,,,,,20288.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0641,Grosvenor Place,Grosvenor Place,Grosvenor Place Management,,Office,="225",George Street,SYDNEY,NSW,2000,-33.86270223,151.20700426,N69621,Waste,Base Building,16/12/2025,,,,,0.00,,6.00,,0.00,,0.00,,,,,,NO,,,,,,,,,,,,,,,,,87.00,1.97,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0641,Grosvenor Place,Grosvenor Place,Grosvenor Place Management,,Office,="225",George Street,SYDNEY,NSW,2000,-33.86270223,151.20700426,OF34973,Energy,Base Building,20/12/2025,6.00,3.50,,3.9,100.00,YES,,,173180.04,4399131.83,3.50,88.94,468.00,,,23173205.63,YES,20/12/2025,,,,,,,,,,,,,,,,,,49459.70,,,,,,,5788975.06,1353227.42,,5.80,25380.00,4.20,90.00,89.90,5788975.06,0.00,0.00,,0.00,0.00,0.00,0.00,5788975.06,89.90,0.00,0.00,,,,,,,,,
P0641,Grosvenor Place,Grosvenor Place,Grosvenor Place Management,,Office,="225",George Street,SYDNEY,NSW,2000,-33.86270223,151.20700426,OF34973,Water,Base Building,20/12/2025,,,,,100.00,,,,0.00,0.00,0.00,0.00,,,,,YES,20/12/2025,3.50,3.50,3.8,3.8,0.00,NO,36332.510,36332.510,0.730,0.730,,,,,,,,49459.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0642,28-36 Foveaux St Surry Hills,28-36 Foveaux St Surry Hills,TIBMOR PTY LTD,,Office,="28-36",Foveaux Street,SURRY HILLS,NSW,2010,-33.88390901,151.21010218,OF37685,Energy,Base Building,14/03/2026,5.00,5.00,,5.4,0.00,NO,,,262399.25,259313.38,51.91,51.30,296.00,,,1499999.61,NO,,,,,,,,,,,,,,,,,,,5054.82,,,,,,,308586.56,0.00,,0.00,10080.00,25.90,14.00,13.70,57152.25,251434.31,60.30,,0.00,0.00,57152.25,13.70,0.00,0.00,0.00,0.00,,,,,,,,,
